epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21.9551,0.5373,0.70715,0.83279,0.98749,0.99123,0.995,0.89379,0.49771,0.39607,0.78776,0.0640715,0.00607152,0.00607152
44,22.3275,0.59592,0.52204,0.84629,0.98749,0.99123,0.995,0.89379,0.49771,0.39607,0.78776,0.0631593,0.00615932,0.00615932
45,22.7387,0.55603,0.95573,0.8102,0.81679,0.66415,0.55786,0.48347,0.62225,1.40508,0.82859,0.0622445,0.00624448,0.00624448
46,23.1029,0.61102,0.68638,0.8234,0.81679,0.66415,0.55786,0.48347,0.62225,1.40508,0.82859,0.061327,0.006327,0.006327
47,23.4976,0.67286,0.69415,0.8431,0.97147,0.99423,0.995,0.89982,0.4715,0.40336,0.79548,0.0604069,0.00640688,0.00640688
48,23.8706,0.73968,0.82435,0.8965,0.97147,0.99423,0.995,0.89982,0.4715,0.40336,0.79548,0.0594841,0.00648412,0.00648412
49,24.2787,0.51332,0.49459,0.8505,0.64204,1,0.99412,0.87423,0.53863,1.0071,0.80879,0.0585587,0.00655872,0.00655872
50,24.6556,0.665,0.85942,0.84906,0.64204,1,0.99412,0.87423,0.53863,1.0071,0.80879,0.0576307,0.00663068,0.00663068
51,25.048,0.60746,0.93758,0.86479,0.88388,0.86667,0.84542,0.77624,0.43421,0.74708,0.78299,0.0567,0.0067,0.0067
52,25.4147,0.54997,0.49582,0.831,0.88388,0.86667,0.84542,0.77624,0.43421,0.74708,0.78299,0.0557667,0.00676668,0.00676668
53,25.8007,0.53941,0.49084,0.81093,0.88388,0.86667,0.84542,0.77624,0.43421,0.74708,0.78299,0.0548307,0.00683072,0.00683072
54,26.225,0.57019,0.5596,0.83662,0.72422,0.82078,0.92304,0.77072,0.66025,1.64571,0.85008,0.0538921,0.00689212,0.00689212
55,26.598,0.77299,0.81838,0.87017,0.72422,0.82078,0.92304,0.77072,0.66025,1.64571,0.85008,0.0529509,0.00695088,0.00695088
56,27.0161,0.64472,0.91895,0.82724,0.72422,0.82078,0.92304,0.77072,0.66025,1.64571,0.85008,0.052007,0.007007,0.007007
57,27.4198,0.70916,0.92086,0.89099,0.60905,0.50838,0.54132,0.4664,0.55284,1.45747,0.83293,0.0510605,0.00706048,0.00706048
58,27.8041,0.59195,1.08828,0.80766,0.60905,0.50838,0.54132,0.4664,0.55284,1.45747,0.83293,0.0501113,0.00711132,0.00711132
59,28.2082,0.64287,1.25609,0.84589,0.60905,0.50838,0.54132,0.4664,0.55284,1.45747,0.83293,0.0491595,0.00715952,0.00715952
60,28.6808,0.59333,1.05968,0.84834,0.92751,0.99585,0.995,0.8935,0.4586,0.46277,0.78919,0.0482051,0.00720508,0.00720508
61,29.079,0.58647,0.50435,0.85783,0.92751,0.99585,0.995,0.8935,0.4586,0.46277,0.78919,0.047248,0.007248,0.007248
62,29.4657,0.48787,0.49319,0.8239,0.92751,0.99585,0.995,0.8935,0.4586,0.46277,0.78919,0.0462883,0.00728828,0.00728828
63,29.8854,0.56822,0.59392,0.86021,0.96161,0.98448,0.995,0.84551,0.57411,0.9648,0.83304,0.0453259,0.00732592,0.00732592
64,30.2929,0.66422,0.85426,0.88372,0.96161,0.98448,0.995,0.84551,0.57411,0.9648,0.83304,0.0443609,0.00736092,0.00736092
65,30.6792,0.70113,0.89421,0.89782,0.96161,0.98448,0.995,0.84551,0.57411,0.9648,0.83304,0.0433933,0.00739328,0.00739328
66,31.0882,0.66774,0.88922,0.86887,0.98754,0.96846,0.995,0.88936,0.58019,0.91488,0.82052,0.042423,0.007423,0.007423
67,31.4771,0.57472,0.76327,0.82173,0.98754,0.96846,0.995,0.88936,0.58019,0.91488,0.82052,0.0414501,0.00745008,0.00745008
68,31.8595,0.65819,0.98215,0.85938,0.98754,0.96846,0.995,0.88936,0.58019,0.91488,0.82052,0.0404745,0.00747452,0.00747452
69,32.3011,0.56616,0.76937,0.86297,0.79843,0.94444,0.93644,0.84659,0.45321,0.57303,0.78664,0.0394963,0.00749632,0.00749632
70,32.6991,0.71049,0.68985,0.81943,0.79843,0.94444,0.93644,0.84659,0.45321,0.57303,0.78664,0.0385155,0.00751548,0.00751548
71,33.1053,0.51676,0.54463,0.78598,0.79843,0.94444,0.93644,0.84659,0.45321,0.57303,0.78664,0.037532,0.007532,0.007532
72,33.5214,0.6417,0.67465,0.8416,0.99095,0.62066,0.98373,0.83044,0.57664,1.304,0.82215,0.0365459,0.00754588,0.00754588
73,33.9355,0.72146,1.88347,0.8588,0.99095,0.62066,0.98373,0.83044,0.57664,1.304,0.82215,0.0355571,0.00755712,0.00755712
74,34.3953,0.67518,1.50857,0.87497,0.99095,0.62066,0.98373,0.83044,0.57664,1.304,0.82215,0.0345657,0.00756572,0.00756572
75,34.8419,0.60053,1.29936,0.85958,0.98041,0.99393,0.995,0.88227,0.50594,0.46476,0.8042,0.0335717,0.00757168,0.00757168
76,35.302,0.57236,0.54953,0.84291,0.98041,0.99393,0.995,0.88227,0.50594,0.46476,0.8042,0.032575,0.007575,0.007575
77,35.8034,0.48513,0.46545,0.84149,0.98041,0.99393,0.995,0.88227,0.50594,0.46476,0.8042,0.0315757,0.00757568,0.00757568
78,36.2903,0.5239,0.53629,0.83721,0.96266,1,0.995,0.85874,0.54893,0.54028,0.81166,0.0305737,0.00757372,0.00757372
79,36.7182,0.59569,0.56669,0.83126,0.96266,1,0.995,0.85874,0.54893,0.54028,0.81166,0.0295691,0.00756912,0.00756912
80,37.187,0.68661,0.58258,0.85881,0.96266,1,0.995,0.85874,0.54893,0.54028,0.81166,0.0285619,0.00756188,0.00756188
81,37.6786,0.5824,0.55323,0.86572,0.98633,1,0.995,0.7712,0.81866,0.74936,0.89928,0.027552,0.007552,0.007552
82,38.1476,0.86227,0.65897,0.9229,0.98633,1,0.995,0.7712,0.81866,0.74936,0.89928,0.0265395,0.00753948,0.00753948
83,38.6025,0.85087,0.65644,0.88523,0.98633,1,0.995,0.7712,0.81866,0.74936,0.89928,0.0255243,0.00752432,0.00752432
84,39.0824,0.76594,0.57875,0.87602,0.96651,0.99757,0.995,0.84407,0.55517,0.46831,0.81841,0.0245065,0.00750652,0.00750652
